"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","Sample_id","threshold"
"57",0.633726516884853,0.633468668603885,6.93233853759426,2457.74962898947,0,3,-9540.50525512465,19089.0105102493,19112.822377413,136530.839301073,2841,2844,0.013,0.0397,6.92868127617506,"YouToo_AT_327",22,0.82
"58",0.465370029435751,0.465072351278421,4.89306323580353,1563.33280752012,0,3,-10807.7910374005,21623.5820748009,21648.3312718816,85999.9076438231,3592,3595,0.299,0.0176,4.89102119777798,"YouToo_AT_328",23,0.82
"59",0.442937269845759,0.44283290212114,9.359510321694,4244.00619504224,0,3,-39030.1296131692,78068.2592263384,78097.3629896547,935134.627205745,10675,10678,0.026,-0.0225,9.35819544515258,"YouToo_AT_329",24,0.82
"60",0.755166689706324,0.754448703459128,4.00094930390175,1051.78433800929,4.02570593109773e-209,3,-1920.24378732429,3848.48757464857,3866.60525000162,10917.1800166913,682,685,0.388,0.0188,3.99217848742535,"YouToo_AT_330",25,0.82
"61",0.174121056575979,0.173518225230414,7.90940952368115,288.838757070256,1.49781816954446e-114,3,-9563.31731033701,19134.634620674,19158.3018506378,171410.999696437,2740,2743,0.079,0.012,7.90508310735397,"YouToo_AT_331",26,0.82
"62",0.357140747391503,0.356600756419131,6.41088747946482,661.382811314248,3.64735309882254e-229,3,-7810.71506799704,15629.4301359941,15652.5362761068,97857.8577712481,2381,2384,0.086,-0.0159,6.40685251369461,"YouToo_AT_332",27,0.82
"63",0.722519203470032,0.722033672767442,6.78304805858942,1488.10198740556,6.42127238586951e-319,3,-3818.53443815527,7645.06887631054,7665.24500789963,52589.1339231478,1143,1146,0.697,0.0178,6.77416390538769,"YouToo_AT_333",28,0.82
"64",0.272782658750039,0.270957772071871,5.38064710863971,149.479231786535,7.46782746693837e-56,3,-2479.89492489816,4967.78984979632,4986.528296707,23074.2365562471,797,800,0.177,0.0065,5.37054891936652,"YouToo_AT_334",29,0.82
"65",0.0735567736539905,0.0727060452551419,8.95239052587067,86.4632869357054,7.33980388062757e-37,3,-7873.78272490758,15755.5654498152,15778.31560488,174556.454966128,2178,2181,0.036,0.0053,8.94623132973334,"YouToo_AT_335",30,0.82
"66",0.0885857365495524,0.0879131060968215,9.23036726660356,131.700454818666,2.59978448818388e-55,3,-9877.71875881637,19763.4375176327,19787.0607588834,230891.132465007,2710,2713,0.1,0.0058,9.22526244516052,"YouToo_AT_336",31,0.82
"67",0.110932689146206,0.10909577321469,7.23473400470192,60.3907273288483,1.92471725816694e-25,3,-3297.79267385865,6603.5853477173,6623.09865359046,50666.452082989,968,971,0.132,0.0056,7.22354914770994,"YouToo_AT_337",32,0.82
"68",0.0137571976456041,0.0115704065095633,10.5075864647934,6.29104326374383,0.00193515106921352,3,-3411.28513349296,6830.57026698592,6849.80200676072,99589.2547302293,902,905,0.055,-0.0027,10.4901561185961,"YouToo_AT_338",33,0.82
"69",0.0357284286736588,0.0342460742211971,8.74422390142071,24.1024868339185,5.26848415303956e-11,3,-4676.37905650558,9360.75811301115,9381.4508799811,99476.3485812685,1301,1304,0.043,0.0034,8.73415956978938,"YouToo_AT_339",34,0.82
"70",0.0291607163209846,0.0284932434549282,9.86107854455973,43.6882423300203,2.02212359232363e-19,3,-10794.8384726999,21597.6769453999,21621.5833270371,282873.691010289,2909,2912,0.018,0.0046,9.85599769653954,"YouToo_AT_340",35,0.82
"71",0.372491596638215,0.371809892777963,4.7698287303142,546.412626298795,5.11437052770016e-187,3,-5495.92180886197,10999.8436177239,11021.9223873404,41885.0809205331,1841,1844,0.251,-0.0101,4.76594713840833,"YouToo_AT_01",1,0.84
"72",0.144582928988357,0.143518315334329,4.05680847870402,135.807885274906,3.19854931480842e-55,3,-4537.6281257517,9083.2562515034,9104.79220933531,26447.5159178459,1607,1610,0.115,-0.0088,4.05302708113345,"YouToo_AT_02",2,0.84
"73",0.344707666448662,0.343805681130628,2.55373703062543,382.165495997418,4.36607049916876e-134,3,-3429.55709705704,6867.11419411407,6888.2479870291,9475.84530976675,1453,1456,0.615,-0.01,2.55110476361707,"YouToo_AT_03",3,0.84
"74",3.04712491120097e-05,-0.000793226880007492,7.05837815719105,0.0369932236517131,0.963683208727855,3,-8198.63604789548,16405.272095791,16428.4563276882,120964.664965666,2428,2431,0.212,1e-04,7.05402158142952,"YouToo_AT_04",4,0.84
"75",0.0855175239533982,0.083514276470273,6.22743747011988,42.6894453500024,1.89044678364816e-18,3,-2973.5771080001,5955.1542160002,5974.43428145889,35407.0324066031,913,916,0.149,0.0047,6.21723133793427,"YouToo_AT_05",5,0.84
"76",0.683662657995094,0.683468108584267,3.80665932378378,3514.08238703221,0,3,-8968.27195030934,17944.5439006187,17968.8956908372,47123.610734302,3252,3255,0.582,-0.0126,3.8049046985125,"YouToo_AT_06",6,0.84
"77",0.770220684609681,0.769616796789996,2.32499167628213,1275.43669453517,9.52377892111537e-244,3,-1727.16546123947,3462.33092247895,3480.88519363561,4113.65117032848,761,764,0.56,0.0148,2.32042241210238,"YouToo_AT_112",7,0.84
"78",0.725703703529773,0.724846527603303,2.64930444090579,846.621657375288,1.69973816346653e-180,3,-1537.34702156317,3082.69404312634,3100.55862202329,4492.040973186,640,643,0.61,-0.0126,2.64311687829475,"YouToo_AT_152",8,0.84
"79",0.720349639481146,0.719718374558982,3.26785887187339,1141.12096869131,7.08948864718699e-246,3,-2312.62982655734,4633.25965311468,4652.42004205673,9461.50682334273,886,889,0.748,-0.0145,3.2623403896832,"YouToo_AT_172",9,0.84
"80",0.863398086800781,0.862998666001952,1.34237993302597,2161.62525670654,2.11943173351809e-296,3,-1175.5905898593,2359.1811797186,2377.31051688749,1232.55697706011,684,687,0.496,-0.013,1.33944576572946,"YouToo_AT_19",10,0.84
"81",0.946792111099293,0.946736715067121,1.10686006437766,17091.3344148631,0,3,-2923.87496921678,5855.74993843357,5877.99858495847,2353.49240726122,1921,1924,0.777,-0.0137,1.1059967910907,"YouToo_AT_21",11,0.84
"82",0.542585103041382,0.53796475054685,3.13582542947806,117.433703095937,2.34811922108717e-34,3,-513.416717796961,1034.83343559392,1048.04665522616,1947.01342258393,198,201,0.021,-0.0087,3.11233576967583,"YouToo_AT_24",12,0.84
"83",0.150459085624975,0.148510597289253,8.39401600556053,77.2183660874634,1.33154122322854e-31,3,-3101.64782696632,6211.29565393265,6230.39254947808,61440.6880998007,872,875,0.15,-0.0144,8.37961390858285,"YouToo_AT_317",13,0.84
"84",0.721437059407523,0.72081107527136,5.07725112518426,1152.4845722605,9.79231917013716e-248,3,-2716.52919315094,5441.05838630188,5460.23673262539,22942.8462994845,890,893,0.332,0.023,5.06871553305942,"YouToo_AT_318",14,0.84
"85",0.678785071975746,0.678403354889562,5.04259349213653,1778.24125914989,0,3,-5118.64304699509,10245.2860939902,10267.0065505444,42794.9017806362,1683,1686,0.168,-0.0232,5.03810520153456,"YouToo_AT_319",15,0.84
"86",0.211474821154951,0.210913393473324,8.57535397385517,376.673306421448,1.19525858321741e-145,3,-10031.2394233828,20070.4788467657,20094.2454517774,206564.57843735,2809,2812,0.032,-0.0124,8.57077841782972,"YouToo_AT_320",16,0.84
"87",0.504924823581361,0.501811143226527,3.19583754073026,162.163345636115,2.83604419009389e-49,3,-826.925807283154,1661.85161456631,1676.93737905883,3247.85407258359,318,321,0.264,0.0135,3.18086866433714,"YouToo_AT_321",17,0.84
"88",0.917009793662409,0.91660297892546,1.90646075302127,2254.12137362522,3.03023459105294e-221,3,-846.875375254416,1701.75075050883,1717.82512336682,1482.91378194665,408,411,0.735,0.013,1.89949012363771,"YouToo_AT_323",18,0.84
"89",0.0526267972082004,0.0513932383503987,7.65035782933243,42.662574935403,9.29398315391255e-19,3,-5313.72891589298,10635.457831786,10656.8133843213,89898.9694722477,1536,1539,0.084,-0.0094,7.64289770290739,"YouToo_AT_324",19,0.84
"90",0.0304737037353521,0.0285911284027993,8.19278629960748,16.1872426608452,1.19726509293263e-07,3,-3636.92275355045,7281.8455071009,7301.60639697738,69135.3997715672,1030,1033,0.023,-0.007,8.18088105771685,"YouToo_AT_325",20,0.84
"91",0.492354756014142,0.491496522296499,6.09961187360647,573.683771556182,6.90129043011492e-175,3,-3825.91421830875,7659.82843661749,7680.14180293572,44013.8285052224,1183,1186,0.1,-0.0241,6.09189247139071,"YouToo_AT_326",21,0.84
"92",0.625983111022836,0.625570060896964,7.07575451425702,1515.51366726059,0,3,-6121.86004401479,12251.7200880296,12273.7332465523,90670.0728242578,1811,1814,0.02,-0.0404,7.06990113850191,"YouToo_AT_327",22,0.84
"93",0.434372688898031,0.433913016154348,4.79899621535265,944.960724487844,3.08050250108376e-305,3,-7359.31792366058,14726.6358473212,14749.8740126198,56677.7274650988,2461,2464,0.307,0.0168,4.79607385871383,"YouToo_AT_328",23,0.84
"94",0.453831062561914,0.453683469280618,9.25870297500103,3074.87616356934,0,3,-26982.3962397748,53972.7924795496,54000.4315822444,634440.221347548,7401,7404,0.027,-0.0226,9.25682703475789,"YouToo_AT_329",24,0.84
"95",0.743437797243986,0.74211531166277,4.02463275413176,562.151911372895,2.41757009262396e-115,3,-1097.74074561207,2203.48149122414,2219.35632146408,6284.69549658452,388,391,0.443,-0.0183,4.00916325644644,"YouToo_AT_330",25,0.84
"96",0.147262524679234,0.146285734902234,7.64681548019395,150.76173824378,3.99760615941437e-61,3,-6038.19416449497,12084.3883289899,12106.25552689,102095.232081282,1746,1749,0.079,-0.0108,7.64025450474296,"YouToo_AT_331",26,0.84
"97",0.350715210374939,0.349825779156274,6.31567551538357,394.31403240102,1.19596153195146e-137,3,-4770.76532947779,9549.53065895559,9570.68363655967,58236.1255347986,1460,1463,0.111,0.0159,6.309196790291,"YouToo_AT_332",27,0.84
"98",0.736248206307197,0.735472465737512,6.66853967891538,949.090759306851,1.6085827877293e-197,3,-2263.55652704152,4535.11305408304,4553.21903352132,30239.2065855028,680,683,0.706,0.0188,6.65387815950199,"YouToo_AT_333",28,0.84
"99",0.249611634010128,0.246610080546169,5.3397275215424,83.1608155601048,6.63014508471647e-32,3,-1554.8344279232,3117.66885584639,3134.55121652679,14256.3450021587,500,503,0.134,0.0063,5.32378006674981,"YouToo_AT_334",29,0.84
"100",0.0460542921528702,0.0447599289129147,9.06887013116306,35.5806552065377,8.1084186544149e-16,3,-5350.83071779994,10709.6614355999,10730.85250873,121228.253641999,1474,1477,0.02,0.0042,9.05965535811672,"YouToo_AT_335",30,0.84
"101",0.0684343769273165,0.0673757796283702,9.29786093889729,64.6462795582784,8.0879646512692e-28,3,-6431.19719561278,12870.3943912256,12892.2934799552,152152.383748767,1760,1763,0.086,0.0055,9.28994674174275,"YouToo_AT_336",31,0.84
"102",0.111417008988667,0.108266005474443,7.4011437828094,35.3592144488882,3.41063174240267e-15,3,-1937.96095786048,3883.92191572095,3901.28335293586,30894.1881217135,564,567,0.157,0.0057,7.38153806947438,"YouToo_AT_337",32,0.84
